,Unnamed: 0,Tweet,Sarcasm (yes/no),clean_text
0,0,I genuinely love musicians.,no,genuinely love musicians
1,1,I find vegetarians to be wonderful.,no,find vegetarians wonderful
2,2,Because artists really make everything better.,yes,artists really make everything better
3,3,Can't wait for more of the game.,yes,cant wait game
4,4,"Oh great, another artists. Just what I needed.",yes,oh great another artists needed
5,5,"this movie are so wonderful, said no one ever.",yes,movie wonderful said one
6,6,"Oh great, another my new phone. Just what I needed.",yes,oh great another new phone needed
7,7,Nothing better than a the meal moment.,yes,nothing better meal moment
8,8,"Oh great, another writers. Just what I needed.",yes,oh great another writers needed
9,9,I am always excited for the workshop.,no,always excited workshop
10,10,Nothing better than a the concert moment.,yes,nothing better concert moment
11,11,Had a great time with the conference.,no,great time conference
12,12,Nothing better than a the game moment.,yes,nothing better game moment
13,13,this movie are truly inspiring.,no,movie truly inspiring
14,14,Nothing better than a writers moment.,yes,nothing better writers moment
15,15,"Everyone loves the concert, right?",yes,everyone loves concert right
16,16,"Oh great, another athletes. Just what I needed.",yes,oh great another athletes needed
17,17,I find this book to be wonderful.,no,find book wonderful
18,18,Nothing better than a the meal moment.,yes,nothing better meal moment
19,19,the workshop are genuinely amazing.,no,workshop genuinely amazing
20,20,I just love when this book happens.,yes,love book happens
21,21,writers are genuinely amazing.,no,writers genuinely amazing
22,22,I find the conference to be wonderful.,no,find conference wonderful
23,23,the meal have always been great.,no,meal always great
24,24,I find artists to be wonderful.,no,find artists wonderful
25,25,vegetarians are genuinely amazing.,no,vegetarians genuinely amazing
26,26,my new phone are truly inspiring.,no,new phone truly inspiring
27,27,Can't wait for more of the concert.,no,cant wait concert
28,28,Can't wait for more of this movie.,yes,cant wait movie
29,29,"this book are so wonderful, said no one ever.",yes,book wonderful said one
30,30,"the conference are so wonderful, said no one ever.",yes,conference wonderful said one
31,31,I just love when doctors happens.,yes,love doctors happens
32,32,the concert are genuinely amazing.,no,concert genuinely amazing
33,33,Can't wait for more of the concert.,yes,cant wait concert
34,34,athletes are truly inspiring.,no,athletes truly inspiring
35,35,I am always excited for this movie.,no,always excited movie
36,36,"the concert are so wonderful, said no one ever.",yes,concert wonderful said one
37,37,"Had a this book, best experience ever. Not.",yes,book best experience
38,38,musicians have always been great.,no,musicians always great
39,39,"vegetarians are so wonderful, said no one ever.",yes,vegetarians wonderful said one
40,40,I am always excited for the concert.,no,always excited concert
41,41,Can't wait for more of musicians.,yes,cant wait musicians
42,42,"the game are so wonderful, said no one ever.",yes,game wonderful said one
43,43,Can't wait for more of this movie.,yes,cant wait movie
44,44,Nothing better than a vegetarians moment.,yes,nothing better vegetarians moment
45,45,Because the meal really make everything better.,yes,meal really make everything better
46,46,Can't wait for more of artists.,no,cant wait artists
47,47,"Had a the workshop, best experience ever. Not.",yes,workshop best experience
48,48,"Had a musicians, best experience ever. Not.",yes,musicians best experience
49,49,I just love when the game happens.,yes,love game happens
50,50,Nothing better than a my new phone moment.,yes,nothing better new phone moment
51,51,"Had a my new phone, best experience ever. Not.",yes,new phone best experience
52,52,Had a great time with the meal.,no,great time meal
53,53,I just love when artists happens.,yes,love artists happens
54,54,"Oh great, another artists. Just what I needed.",yes,oh great another artists needed
55,55,Can't wait for more of this book.,yes,cant wait book
56,56,"Oh great, another musicians. Just what I needed.",yes,oh great another musicians needed
57,57,I find musicians to be wonderful.,no,find musicians wonderful
58,58,"Everyone loves doctors, right?",yes,everyone loves doctors right
59,59,artists are genuinely amazing.,no,artists genuinely amazing
60,60,"artists are so wonderful, said no one ever.",yes,artists wonderful said one
61,61,doctors have always been great.,no,doctors always great
62,62,"Oh great, another musicians. Just what I needed.",yes,oh great another musicians needed
63,63,Had a great time with doctors.,no,great time doctors
64,64,Because the concert really make everything better.,yes,concert really make everything better
65,65,I find musicians to be wonderful.,no,find musicians wonderful
66,66,"Oh great, another writers. Just what I needed.",yes,oh great another writers needed
67,67,athletes are genuinely amazing.,no,athletes genuinely amazing
68,68,musicians are genuinely amazing.,no,musicians genuinely amazing
69,69,I just love when my new phone happens.,yes,love new phone happens
70,70,I just love when this book happens.,yes,love book happens
71,71,doctors are truly inspiring.,no,doctors truly inspiring
72,72,the concert are genuinely amazing.,no,concert genuinely amazing
73,73,"the workshop are so wonderful, said no one ever.",yes,workshop wonderful said one
74,74,Can't wait for more of the conference.,yes,cant wait conference
75,75,Can't wait for more of musicians.,yes,cant wait musicians
76,76,I find this book to be wonderful.,no,find book wonderful
77,77,I just love when this book happens.,yes,love book happens
78,78,"the conference are so wonderful, said no one ever.",yes,conference wonderful said one
79,79,"Everyone loves the game, right?",yes,everyone loves game right
80,80,I find engineers to be wonderful.,no,find engineers wonderful
81,81,I am always excited for vegetarians.,no,always excited vegetarians
82,82,the workshop are truly inspiring.,no,workshop truly inspiring
83,83,I am always excited for musicians.,no,always excited musicians
84,84,the concert have always been great.,no,concert always great
85,85,Because vegetarians really make everything better.,yes,vegetarians really make everything better
86,86,I am always excited for engineers.,no,always excited engineers
87,87,Because this movie really make everything better.,yes,movie really make everything better
88,88,Had a great time with athletes.,no,great time athletes
89,89,Can't wait for more of engineers.,no,cant wait engineers
90,90,the concert have always been great.,no,concert always great
91,91,Can't wait for more of the workshop.,no,cant wait workshop
92,92,Because musicians really make everything better.,yes,musicians really make everything better
93,93,"Oh great, another the meal. Just what I needed.",yes,oh great another meal needed
94,94,vegetarians are truly inspiring.,no,vegetarians truly inspiring
95,95,Nothing better than a doctors moment.,yes,nothing better doctors moment
96,96,"scientists are so wonderful, said no one ever.",yes,scientists wonderful said one
97,97,"Oh great, another athletes. Just what I needed.",yes,oh great another athletes needed
98,98,Because vegetarians really make everything better.,yes,vegetarians really make everything better
99,99,athletes have always been great.,no,athletes always great
100,100,Because the conference really make everything better.,yes,conference really make everything better
101,101,I just love when writers happens.,yes,love writers happens
102,102,Can't wait for more of engineers.,no,cant wait engineers
103,103,Had a great time with this movie.,no,great time movie
104,104,Because the conference really make everything better.,yes,conference really make everything better
105,105,the meal are genuinely amazing.,no,meal genuinely amazing
106,106,I am always excited for this movie.,no,always excited movie
107,107,"Had a the workshop, best experience ever. Not.",yes,workshop best experience
108,108,"Had a the conference, best experience ever. Not.",yes,conference best experience
109,109,Had a great time with the workshop.,no,great time workshop
110,110,Can't wait for more of vegetarians.,yes,cant wait vegetarians
111,111,Because vegetarians really make everything better.,yes,vegetarians really make everything better
112,112,"Everyone loves engineers, right?",yes,everyone loves engineers right
113,113,"Had a musicians, best experience ever. Not.",yes,musicians best experience
114,114,Can't wait for more of engineers.,no,cant wait engineers
115,115,this movie have always been great.,no,movie always great
116,116,Nothing better than a the meal moment.,yes,nothing better meal moment
117,117,Can't wait for more of this book.,no,cant wait book
118,118,I find the meal to be wonderful.,no,find meal wonderful
119,119,"Had a this book, best experience ever. Not.",yes,book best experience
120,120,Nothing better than a artists moment.,yes,nothing better artists moment
121,121,Nothing better than a musicians moment.,yes,nothing better musicians moment
122,122,I am always excited for this book.,no,always excited book
123,123,Can't wait for more of this book.,no,cant wait book
124,124,I find writers to be wonderful.,no,find writers wonderful
125,125,Nothing better than a the conference moment.,yes,nothing better conference moment
126,126,"Had a doctors, best experience ever. Not.",yes,doctors best experience
127,127,"the workshop are so wonderful, said no one ever.",yes,workshop wonderful said one
128,128,athletes are genuinely amazing.,no,athletes genuinely amazing
129,129,I am always excited for athletes.,no,always excited athletes
130,130,the game are truly inspiring.,no,game truly inspiring
131,131,the game are genuinely amazing.,no,game genuinely amazing
132,132,Because writers really make everything better.,yes,writers really make everything better
133,133,I am always excited for musicians.,no,always excited musicians
134,134,Can't wait for more of the concert.,no,cant wait concert
135,135,Nothing better than a the conference moment.,yes,nothing better conference moment
136,136,"Oh great, another this book. Just what I needed.",yes,oh great another book needed
137,137,"Everyone loves doctors, right?",yes,everyone loves doctors right
138,138,Nothing better than a this book moment.,yes,nothing better book moment
139,139,I just love when the game happens.,yes,love game happens
140,140,I find this book to be wonderful.,no,find book wonderful
141,141,"the game are so wonderful, said no one ever.",yes,game wonderful said one
142,142,the meal are truly inspiring.,no,meal truly inspiring
143,143,Had a great time with vegetarians.,no,great time vegetarians
144,144,I genuinely love artists.,no,genuinely love artists
145,145,"Oh great, another scientists. Just what I needed.",yes,oh great another scientists needed
146,146,Had a great time with engineers.,no,great time engineers
147,147,I am always excited for musicians.,no,always excited musicians
148,148,Can't wait for more of the game.,no,cant wait game
149,149,doctors are truly inspiring.,no,doctors truly inspiring
150,150,the workshop have always been great.,no,workshop always great
151,151,"Had a my new phone, best experience ever. Not.",yes,new phone best experience
152,152,"vegetarians are so wonderful, said no one ever.",yes,vegetarians wonderful said one
153,153,Can't wait for more of athletes.,yes,cant wait athletes
154,154,"Oh great, another vegetarians. Just what I needed.",yes,oh great another vegetarians needed
155,155,"Everyone loves the workshop, right?",yes,everyone loves workshop right
156,156,I find the meal to be wonderful.,no,find meal wonderful
157,157,Had a great time with the conference.,no,great time conference
158,158,I just love when the conference happens.,yes,love conference happens
159,159,"scientists are so wonderful, said no one ever.",yes,scientists wonderful said one
160,160,this movie are genuinely amazing.,no,movie genuinely amazing
161,161,"Had a my new phone, best experience ever. Not.",yes,new phone best experience
162,162,"Everyone loves the workshop, right?",yes,everyone loves workshop right
163,163,Nothing better than a my new phone moment.,yes,nothing better new phone moment
164,164,vegetarians are genuinely amazing.,no,vegetarians genuinely amazing
165,165,Can't wait for more of the workshop.,yes,cant wait workshop
166,166,I find engineers to be wonderful.,no,find engineers wonderful
167,167,"Oh great, another the game. Just what I needed.",yes,oh great another game needed
168,168,the conference are truly inspiring.,no,conference truly inspiring
169,169,writers are genuinely amazing.,no,writers genuinely amazing
170,170,"Had a the game, best experience ever. Not.",yes,game best experience
171,171,writers are genuinely amazing.,no,writers genuinely amazing
172,172,"Had a the conference, best experience ever. Not.",yes,conference best experience
173,173,artists are truly inspiring.,no,artists truly inspiring
174,174,I genuinely love doctors.,no,genuinely love doctors
175,175,scientists have always been great.,no,scientists always great
176,176,my new phone have always been great.,no,new phone always great
177,177,"Oh great, another the meal. Just what I needed.",yes,oh great another meal needed
178,178,the concert have always been great.,no,concert always great
179,179,I am always excited for this book.,no,always excited book
180,180,Can't wait for more of the meal.,yes,cant wait meal
181,181,"Had a athletes, best experience ever. Not.",yes,athletes best experience
182,182,Can't wait for more of musicians.,no,cant wait musicians
183,183,Can't wait for more of writers.,yes,cant wait writers
184,184,"Oh great, another athletes. Just what I needed.",yes,oh great another athletes needed
185,185,"Had a the concert, best experience ever. Not.",yes,concert best experience
186,186,Because vegetarians really make everything better.,yes,vegetarians really make everything better
187,187,I genuinely love the concert.,no,genuinely love concert
188,188,Because artists really make everything better.,yes,artists really make everything better
189,189,I find this book to be wonderful.,no,find book wonderful
